"TIME","FACTOR 1","FACTOR 2","Y","PDC RSG","PDCxT RSG","YBAR(k,t)","YBAR(.t)","YBAR(k.)","YBAR","R1","R2","R3","R4","R5","RCR1","RCR2","RCR3","RCR4","RCR5","PDC ID","PDC MAIN EFFECTS","PT ID","PT MAIN EFFECTS","PDCxPT ID","PDCxPT INTERACTION EFFECTS","F1 ID","F1 MAIN EFFECT","F2 ID","F2 MAIN EFFECT","F1xF2 ID","F1xF2 INTERACTION EFFECT","F1 MAIN EFFECTS","F2 MAIN EFFECTS","F1xF2 INTERACTION EFFECTS","TAGUCHI COMPONENT","TAGUCHI LOSS","PERCENT CONTRIBUTION TO LOSS","LOSS FUNCTION LABELS","TAGUCHI-COMPONENT","TAGUCHI-LOSS","PERCENT-CONTRIBUTION TO LOSS","LOSS-FUNCTION LABELS","VAS MU ESTIMATE","GLM MU ESTIMATE PDCxT","GLM MU ESTIMATE F1-F2","VAS PDC,PT AND PDCxPT ESTIMATES","GLM PDC,PT AND PDCxPT ESTIMATES","VAS F1,F2 AND F1xF2 ESTIMATES","GLM F1,F2 AND F1xF2 ESTIMATES"
6,1,1,237.7100067138672,11,11006,237.82500457763672,237.80750179290771,238.10812338574004,237.78237031228343,-0.07236359841624562,-0.11499786376953125,-0.42324815249713765,-0.08986638314524953,0.21075520968707906,237.7100067138672,237.6673724485139,237.3591221597863,237.69250392913818,237.9931255219705,8,,11,-0.08424351937571828,11011,0.8061219646903624,,,,,,,0.49156731454439734,-0.4966753025804564,-0.014132529815923833,,,,,,,,,,,,0.2320053743620747,0.23200537436210927,0.14946579782078162,0.14946579782077363
6,1,1,237.94000244140625,11,11006,237.82500457763672,237.80750179290771,238.10812338574004,237.78237031228343,0.15763212912281688,0.11499786376953125,-0.19325242495807515,0.14012934439381297,0.44075093722614156,237.94000244140625,237.89736817605296,237.58911788732536,237.92249965667725,238.22312124950957,8,,12,-0.03861878640452687,11012,0.6704932644340147,,,,,,,0.7215630420834598,-0.2666795750413939,0.21586319772313867,,,,,,,,,,,,-0.20299409158030812,-0.2029940915802752,-0.1494657978207523,-0.14946579782077363
7,1,1,236.0399932861328,11,11007,234.17499542236328,237.69375038146973,238.10812338574004,237.78237031228343,-1.7423770261506206,1.8649978637695313,-1.9795101687935244,1.7763779329558247,2.1907509372261416,236.0399932861328,239.64736817605296,235.8028601434899,239.55874824523926,239.97312124950957,8,,13,0.01277798482214898,11013,0.5291001553167121,,,,,,,2.47156304208346,1.483320424958606,1.9658631977231387,,,,,,,,,,,,0.01700617544850047,0.017006175448533643,0.13116501657079066,0.1311650165707739
7,1,1,232.30999755859375,11,11007,234.17499542236328,237.69375038146973,238.10812338574004,237.78237031228343,-5.472372753689683,-1.8649978637695313,-5.709505896332587,-1.9536177945832378,-1.539244790312921,232.30999755859375,235.9173724485139,232.07286441595085,235.8287525177002,236.2431255219705,8,,14,0.34200312369068797,11014,-0.9301298663643252,,,,,,,-1.2584326854556027,-2.2466753025804564,-1.7641325298159238,,,,,,,,,,,,0.02513148062428172,0.025131480624316097,-0.1311650165707614,-0.1311650165707739
8,1,1,240.0500030517578,11,11008,239.41500091552734,238.07125091552734,238.10812338574004,237.78237031228343,2.2676327394743794,0.6350021362304688,1.6529990627738584,0.9238827394743794,0.9607552096870791,240.0500030517578,238.4173724485139,239.4353693750573,238.7062530517578,238.7431255219705,8,,15,0.08575655691822703,11015,-2.988878111603583,,,,,,,1.2415673145443973,0.25332469741954355,0.7358674701840762,,,,,,,,,,,,-0.08861993081370656,-0.08861993081367006,,
8,1,1,238.77999877929687,11,11008,239.41500091552734,238.07125091552734,238.10812338574004,237.78237031228343,0.9976284670134419,-0.6350021362304688,0.38299479031292094,-0.3461215329865581,-0.30924906277385844,238.77999877929687,237.14736817605296,238.16536510259635,237.43624877929687,237.47312124950957,8,,16,-0.07924626595774953,11016,0.7261201336356749,,,,,,,-0.028436957916540218,-1.016679575041394,-0.5341368022768613,,,,,,,,,,,,0.2888806032439106,0.28888060324394477,,
9,1,1,238.17999267578125,11,11009,238.2899932861328,237.8162498474121,238.10812338574004,237.78237031228343,0.3976223634978169,-0.1100006103515625,0.037989754912530316,-0.07612107522288625,0.2157524631050478,238.17999267578125,237.67236970193187,237.82036006719596,237.70624923706055,237.99812277538848,8,,17,0.3726284670134419,11017,0.01425089382854594,,,,,,,0.4965645679623661,-0.49167804916248764,-0.009135276397955083,,,,,,,,,,,,0.03387953512867625,0.0338795351287103,,
9,1,1,238.39999389648437,11,11009,238.2899932861328,237.8162498474121,238.10812338574004,237.78237031228343,0.6176235842009419,0.1100006103515625,0.2579909756156553,0.14388014548023875,0.4357536838081728,238.39999389648437,237.892370922635,238.0403612878991,237.92625045776367,238.2181239960916,8,,18,-0.02487157113353078,11018,0.3717423870536436,,,,,,,0.716565788665491,-0.27167682845936264,0.21086594430516992,,,,,,,,,,,,-0.13736985451976125,-0.1373698545197278,,
10,1,1,239.9199981689453,11,11010,239.3499984741211,237.64500045776367,238.10812338574004,237.78237031228343,2.1376278566618794,0.5699996948242188,1.9492446377250303,0.4326298403044575,0.8957527682808291,239.9199981689453,238.35237000710765,239.73161495000846,238.2150001525879,238.67812308056426,8,,19,0.0020048784514301587,11019,0.31987204098430766,,,,,,,1.1765648731381473,0.18832225601329355,0.6708650287778262,,,,,,,,,,,,-0.08424351937571828,-0.08424351937568317,,
10,1,1,238.77999877929687,11,11010,239.3499984741211,237.64500045776367,238.10812338574004,237.78237031228343,0.9976284670134419,-0.5699996948242188,0.8092452480765928,-0.70736954934398,-0.24424662136760844,238.77999877929687,237.21237061745921,238.59161556036003,237.07500076293945,237.53812369091582,8,,20,0.19229899310942855,11020,0.13457517974427446,,,,,,,0.03656548348970978,-0.951677133635144,-0.46913436087061133,,,,,,,,,,,,-0.03861878640452687,-0.038618786404492005,,
