"TIME","FACTOR 1","FACTOR 2","Y","PDC RSG","PDCxT RSG","YBAR(k,t)","YBAR(.t)","YBAR(k.)","YBAR","R1","R2","R3","R4","R5","RCR1","RCR2","RCR3","RCR4","RCR5","PDC ID","PDC MAIN EFFECTS","PT ID","PT MAIN EFFECTS","PDCxPT ID","PDCxPT INTERACTION EFFECTS","F1 ID","F1 MAIN EFFECT","F2 ID","F2 MAIN EFFECT","F1xF2 ID","F1xF2 INTERACTION EFFECT","F1 MAIN EFFECTS","F2 MAIN EFFECTS","F1xF2 INTERACTION EFFECTS","TAGUCHI COMPONENT","TAGUCHI LOSS","PERCENT CONTRIBUTION TO LOSS","LOSS FUNCTION LABELS","TAGUCHI-COMPONENT","TAGUCHI-LOSS","PERCENT-CONTRIBUTION TO LOSS","LOSS-FUNCTION LABELS","VAS MU ESTIMATE","GLM MU ESTIMATE PDCxT","GLM MU ESTIMATE F1-F2","VAS PDC AND PT ESTIMATES","GLM PDC AND PT ESTIMATES","VAS F1,F2 AND F1xF2 ESTIMATES","GLM F1,F2 AND F1xF2 ESTIMATES"
16,1,1,238.77999877929687,11,11016,238.77999877929687,237.71875190734863,238.10812338574004,237.78237031228343,0.9976284670134419,0,0.7354937984916319,0.6718753935568316,1.0612468719482422,238.77999877929687,237.78237031228343,238.51786411077507,238.45424570584026,238.84361718423168,,,16,-0.0636184049347861,11016,0.7354937984916319,,,,,,,1.3420589768055577,0.35381635968071734,0.836359132445206,,,,,,,,,,,,0.017630832125760776,0.01763083212578088,,
17,1,1,238.17999267578125,11,11017,238.17999267578125,238.00875091552734,238.10812338574004,237.78237031228343,0.3976223634978169,0,-0.15451131320270406,0.07186929004120657,0.17124176025390625,238.17999267578125,237.78237031228343,237.62785899908073,237.85423960232464,237.95361207253734,,,17,0.22638060324392484,11017,-0.15451131320270406,,,,,,,0.45205386511122175,-0.5361887520136186,-0.05364597924912995,,,,,,,,,,,,0.0426285433074014,0.04262854330742135,,
18,1,1,238.39999389648437,11,11018,238.39999389648437,237.62374877929687,238.10812338574004,237.78237031228343,0.6176235842009419,0,0.4504920437308897,0.29187051074433157,0.7762451171875,238.39999389648437,237.78237031228343,238.23286235601432,238.07424082302776,238.55861542947093,,,18,-0.1586215329865439,11018,0.4504920437308897,,,,,,,1.0570572220448156,0.0688146049199751,0.5513573776844638,,,,,,,,,,,,-0.008616192410372037,-0.0086161924103516,,
19,1,1,239.9199981689453,11,11019,239.9199981689453,237.7199993133545,238.10812338574004,237.78237031228343,2.1376278566618794,0,1.87424578213421,1.811874783205269,2.1999988555908203,239.9199981689453,237.78237031228343,239.65661609441764,239.5942450954887,239.98236916787425,,,19,-0.062370998928926724,11019,1.87424578213421,,,,,,,2.480810960448136,1.4925683433232955,1.9751111160877841,,,,,,,,,,,,0.012631671359159213,0.01263167135918006,,
20,1,1,238.77999877929687,11,11020,238.77999877929687,237.57000160217285,238.10812338574004,237.78237031228343,0.9976284670134419,0,0.8842441036674131,0.6718753935568316,1.2099971771240234,238.77999877929687,237.78237031228343,238.66661441595085,238.45424570584026,238.99236748940746,,,20,-0.21236871011056735,11020,0.8842441036674131,,,,,,,1.490809281981339,0.5025666648564986,0.9851094376209872,,,,,,,,,,,,0.03763128988943265,0.03763128988945326,,
21,1,1,238.69000244140625,11,11021,238.69000244140625,237.69250106811523,238.10812338574004,237.78237031228343,0.9076321291228169,0,0.6717482998344053,0.5818790556662066,0.9975013732910156,238.69000244140625,237.78237031228343,238.45411861211784,238.36424936794964,238.77987168557445,,,21,-0.08986924416818454,11021,0.6717482998344053,,,,,,,1.2783134781483312,0.2900708610234908,0.7726136337879794,,,,,,,,,,,,0.31512953512869046,0.3151295351287104,,
22,1,1,238.97000122070312,11,11022,238.97000122070312,237.7037525177002,238.10812338574004,237.78237031228343,1.1876309084196919,0,0.9404956295463194,0.8618778349630816,1.2662487030029297,238.97000122070312,237.78237031228343,238.72286594182975,238.64424814724651,239.04861901528636,,,22,-0.0786177945832236,11022,0.9404956295463194,,,,,,,1.5470608078602452,0.5588181907354048,1.0413609634998935,,,,,,,,,,,,-0.49236939675607516,-0.49236939675605557,,
23,1,1,238.64999389648437,11,11023,238.64999389648437,237.67500114440918,238.10812338574004,237.78237031228343,0.8676235842009419,0,0.649239678618585,0.5418705107443316,0.9749927520751953,238.64999389648437,237.78237031228343,238.43160999090202,238.32424082302776,238.75736306435863,,,23,-0.10736916787423922,11023,0.649239678618585,,,,,,,1.2558048569325109,0.26756223980767047,0.7501050125721591,,,,,,,,,,,,0.6413796114226358,0.6413796114226565,,
24,1,1,238.8300018310547,11,11024,238.8300018310547,237.81250190734863,238.10812338574004,237.78237031228343,1.0476315187712544,0,0.6917468502494444,0.7218784453146441,1.0174999237060547,238.8300018310547,237.78237031228343,238.47411716253288,238.50424875759808,238.7998702359895,,,24,0.0301315950652139,11024,0.6917468502494444,,,,,,,1.2983120285633702,0.31006941143852984,0.7926121842030185,,,,,,,,,,,,-0.0636184049347861,-0.06361840493476613,,
25,1,1,238.75,11,11025,238.75,237.72904667050517,238.10812338574004,237.78237031228343,0.9676296877165669,0,0.6952002560382198,0.6418766142599566,1.02095332949483,238.75,237.78237031228343,238.47757056832165,238.4242469265434,238.80332364177826,,,25,-0.05332364177826676,11025,0.6952002560382198,,,,,,,1.3017654343521456,0.31352281722730524,0.7960655899917939,,,,,,,,,,,,0.22638060324392484,0.22638060324394427,,
26,1,1,238.5500030517578,11,11026,238.5500030517578,237.86124992370605,238.10812338574004,237.78237031228343,0.7676327394743794,0,0.3630000545951475,0.44187966601776907,0.6887531280517578,238.5500030517578,237.78237031228343,238.14537036687858,238.2242499783012,238.4711234403352,,,26,0.07887961142263578,11026,0.3630000545951475,,,,,,,0.9695652329090734,-0.01867738421576709,0.4638653885487216,,,,,,,,,,,,-0.1586215329865439,-0.15862153298652315,,
27,1,1,237.6699981689453,11,11027,237.6699981689453,237.9412498474121,238.10812338574004,237.78237031228343,-0.11237214333812062,0,-0.5970047519234072,-0.43812521679473093,-0.2712516784667969,237.6699981689453,237.78237031228343,237.18536556036003,237.3442450954887,237.51111863381664,,,27,0.15887953512869046,11027,-0.5970047519234072,,,,,,,0.009560426390518684,-0.9786821907343217,-0.4961394179698331,,,,,,,,,,,,-0.062370998928926724,-0.06237099892890655,,
28,1,1,237.3699951171875,11,11028,237.3699951171875,238.30749702453613,238.10812338574004,237.78237031228343,-0.4123751950959331,0,-1.2632549808052431,-0.7381282685525434,-0.9375019073486328,237.3699951171875,237.78237031228343,236.5191153314782,237.0442420437309,236.8448684049348,,,28,0.5251267122527139,11028,-1.2632549808052431,,,,,,,-0.6566898024913173,-1.6449324196161577,-1.162389646851669,,,,,,,,,,,,-0.21236871011056735,-0.2123687101105467,,
29,1,1,234.3800048828125,11,11029,234.3800048828125,237.5500030517578,238.10812338574004,237.78237031228343,-3.402365429470933,0,-3.495751242401923,-3.7281185029275434,-3.1699981689453125,234.3800048828125,237.78237031228343,234.2866190698815,234.0542518093559,234.61237214333812,,,29,-0.2323672605256064,11029,-3.495751242401923,,,,,,,-2.8891860640879967,-3.8774286812128373,-3.394885908448349,,,,,,,,,,,,-0.08986924416818454,-0.08986924416816433,,
30,1,1,236.02999877929687,11,11030,236.02999877929687,238.1862506866455,238.10812338574004,237.78237031228343,-1.7523715329865581,0,-2.482004980805243,-2.0781246064431684,-2.156251907348633,236.02999877929687,237.78237031228343,235.3003653314782,235.70424570584026,235.6261184049348,,,30,0.4038803743620889,11030,-2.482004980805243,,,,,,,-1.8754398024913173,-2.8636824196161577,-2.3811396468516692,,,,,,,,,,,,-0.0786177945832236,-0.07861779458320364,,
